Total Time(s),Time_o1(s),Time_o2(s),var1,var2,o1,o2
0.6010000705718994,0.6010000705718994,0.0,3.0,0.0,0.05188910251201323,462.6880006414564
0.41899991035461426,0.41899991035461426,0.0,3.0,8.0,-0.019110927165182198,3127.7708843362348
0.6640000343322754,0.6640000343322754,0.0,2.0,11.0,-0.019480015789411224,6851.768644576011
0.502000093460083,0.502000093460083,0.0,1.0,5.0,-0.017547057960155394,1309.7629556619688
0.4219999313354492,0.4219999313354492,0.0,2.0,0.0,0.07351375110824032,669.1180316968754
0.5260000228881836,0.5260000228881836,0.0,1.0,11.0,-0.01943590992164526,3352.9931664946434
0.3660001754760742,0.3660001754760742,0.0,3.0,3.0,-0.015510069870605001,1184.4812816421295
0.560999870300293,0.560999870300293,0.0,2.0,15.0,-0.019724120370816542,10705.888507150006
0.5480000972747803,0.5480000972747803,0.0,4.0,1.0,-0.007612393587736802,768.773908758113
0.3970000743865967,0.3970000743865967,0.0,4.0,13.0,-0.01967311895809209,6918.965178823022
0.5709998607635498,0.5709998607635498,0.0,1.0,2.0,-0.011527080248362251,641.783848274364
0.4720001220703125,0.4720001220703125,0.0,2.0,12.0,-0.019563977271165676,7735.0044464158245
0.4910001754760742,0.4910001754760742,0.0,4.0,1.0,-0.007612393587736802,768.773908758113
0.5460000038146973,0.5460000038146973,0.0,5.0,12.0,-0.01961134514919434,14400.274235348608
0.5789999961853027,0.5789999961853027,0.0,5.0,15.0,-0.019754588146819983,19931.175412247354
0.8050000667572021,0.8050000667572021,0.0,3.0,15.0,-0.01974926796433815,7403.008010263303
0.4830000400543213,0.4830000400543213,0.0,1.0,2.0,-0.011527080248362251,641.783848274364
0.5039999485015869,0.5039999485015869,0.0,4.0,17.0,-0.019810021051968683,10335.738106636796
0.5669999122619629,0.5669999122619629,0.0,4.0,1.0,-0.007612393587736802,768.773908758113
0.7030000686645508,0.7030000686645508,0.0,1.0,18.0,-0.019788549444621457,6928.646035451806
0.6210000514984131,0.6210000514984131,0.0,2.0,1.0,-0.006167940661455815,963.5299656435016
0.5429999828338623,0.5429999828338623,0.0,4.0,11.0,-0.019540260311997553,5466.836684502136
0.442000150680542,0.442000150680542,0.0,1.0,2.0,-0.011527080248362251,641.783848274364
0.4419999122619629,0.4419999122619629,0.0,4.0,20.0,-0.019861609224867557,13346.769249272797
0.4910001754760742,0.4910001754760742,0.0,4.0,9.0,-0.019313476238828838,4185.54683657194
0.48799991607666016,0.48799991607666016,0.0,1.0,18.0,-0.019788549444621457,6928.646035451806
0.747999906539917,0.747999906539917,0.0,1.0,15.0,-0.01969990016167318,5239.051822647875
0.3969998359680176,0.3969998359680176,0.0,4.0,1.0,-0.007612393587736802,768.773908758113
0.40400004386901855,0.40400004386901855,0.0,4.0,12.0,-0.019614830198945117,6171.546100863689
0.4179999828338623,0.4179999828338623,0.0,3.0,6.0,-0.0184825834169445,2239.409923104639
0.48399996757507324,0.48399996757507324,0.0,1.0,4.0,-0.01649802512968003,1060.9079940861968
0.3789999485015869,0.3789999485015869,0.0,3.0,9.0,-0.01929297725214292,3627.473925029014
0.4930000305175781,0.4930000305175781,0.0,3.0,3.0,-0.015510069870605001,1184.4812816421295
0.5520000457763672,0.5520000457763672,0.0,4.0,8.0,-0.01913647597515741,3608.9664050033475
0.5669999122619629,0.5669999122619629,0.0,2.0,2.0,-0.01212535660414987,1311.4713421258743
0.5839998722076416,0.5839998722076416,0.0,1.0,20.0,-0.019827689839700537,8186.0184728873155
0.40400004386901855,0.40400004386901855,0.0,3.0,6.0,-0.0184825834169445,2239.409923104639
